                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0277,                 2.3986,                 1.3262,                0.55709,                0.53571,                0.52886,                0.35794,                 1.0448,                 1.5059,                 1.3133,             0.00016491,             0.00016491,             0.00016491
                      2,                0.86157,                 1.2414,                 1.1726,                0.60842,                 0.5629,                0.58746,                0.38605,                 1.1173,                 1.3553,                 1.4123,             0.00030969,             0.00030969,             0.00030969
                      3,                0.81465,                 1.0256,                 1.1408,                0.63851,                 0.6342,                0.64874,                 0.4324,                 1.0901,                 1.2387,                 1.3606,             0.00043248,             0.00043248,             0.00043248
                      4,                0.77936,                 0.9189,                 1.1242,                0.64294,                0.65105,                0.66332,                0.46448,                 1.0532,                 1.2404,                 1.3597,               0.000401,               0.000401,               0.000401
                      5,                0.74528,                 0.8295,                 1.0939,                0.67115,                0.69191,                0.71053,                0.49051,                 1.0181,                 1.1109,                 1.3229,               0.000368,               0.000368,               0.000368
                      6,                0.73785,                0.74388,                  1.108,                0.63449,                 0.6813,                0.67236,                0.47639,                 1.0329,                 1.1377,                  1.318,               0.000335,               0.000335,               0.000335
                      7,                0.67297,                0.62361,                 1.0579,                0.69707,                0.62238,                 0.6531,                0.46711,                 1.0283,                 1.2036,                 1.2984,               0.000302,               0.000302,               0.000302
                      8,                0.63032,                0.56075,                 1.0238,                0.67675,                0.71354,                0.70559,                0.51617,                0.95981,                 1.0634,                 1.2798,               0.000269,               0.000269,               0.000269
                      9,                0.59718,                0.51698,                 1.0073,                0.69403,                0.64056,                0.68294,                0.50073,                0.98017,                 1.1213,                 1.2942,               0.000236,               0.000236,               0.000236
                     10,                0.55483,                0.47202,                0.97997,                0.75406,                0.65269,                0.71603,                0.51865,                0.96947,                 1.0988,                 1.2737,               0.000203,               0.000203,               0.000203
                     11,                0.51994,                0.43362,                0.95552,                0.73485,                0.67937,                0.71161,                0.52436,                0.96099,                 1.0859,                 1.2757,                0.00017,                0.00017,                0.00017
                     12,                0.49973,                0.41012,                0.94136,                0.70953,                0.69127,                0.71875,                0.53284,                0.94042,                 1.0647,                 1.2389,               0.000137,               0.000137,               0.000137
                     13,                0.47037,                 0.3792,                0.92451,                0.72506,                  0.695,                0.71754,                0.53922,                0.91933,                 1.1062,                  1.234,               0.000104,               0.000104,               0.000104
                     14,                0.45034,                0.36311,                0.91737,                0.78135,                0.67678,                0.72424,                0.54411,                0.92828,                 1.1129,                 1.2424,                7.1e-05,                7.1e-05,                7.1e-05
                     15,                 0.4294,                0.33948,                0.90209,                0.77462,                0.70926,                 0.7413,                0.56301,                0.91164,                 1.0283,                 1.2308,                3.8e-05,                3.8e-05,                3.8e-05
